dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
Tcell_stim_G3BP1_bp_wt;COQ8A;WAHR;T cell;stimulation;bp;5;bp_pl;6;medium
U2OS_ars__EDC3_bp;COQ8A;WAHR;U-2 OS;arsenite;bp;5;bp_pl;6;medium
HEK293T_heat_elF4A1_pl_wt;COQ8A;WAHR;HEK293T;heatshock;pl;5;bp_pl;6;medium
SMMC_ars_G3BP1_bp_wt;COQ8A;WAHR;SMMC-7721;arsenite;bp;5;bp_pl;6;medium
Tcell_stim_G3BP1_bp_wt;COQ8B;WAHR;T cell;stimulation;bp;1;bp;1;low
U2OS_virus_G3BP1_bp_wt;CORIN;WAHR;U-2 OS;virus;bp;2;bp_fanci;3;low
HeLa_UV_G3BP1_fanci_wt;CORIN;WAHR;HeLa;UV-light;fanci;2;bp_fanci;3;low
HeLa_osm_G3BP1_fanci_wt;CORO1B;WAHR;HeLa;osmosis;fanci;1;fanci;1;low
HEK293T_ars_G3BP1_pl_wt;CORO1C;WAHR;HEK293T;arsenite;pl;7;bp_pl_fanci;8;medium
HEK293T_sorb_G3BP1_pl_wt;CORO1C;WAHR;HEK293T;sorbitol;pl;7;bp_pl_fanci;8;medium
U2OS_ars_G3BP1_pl_wt;CORO1C;WAHR;U-2 OS;arsenite;pl;7;bp_pl_fanci;8;medium
Tcell_stim_G3BP1_bp_wt;CORO1C;WAHR;T cell;stimulation;bp;7;bp_pl_fanci;8;medium
HeLa_ars_G3BP1_fanci_wt;CORO1C;WAHR;HeLa;arsenite;fanci;7;bp_pl_fanci;8;medium
HeLa_heat_G3BP1_fanci_wt;CORO1C;WAHR;HeLa;heatshock;fanci;7;bp_pl_fanci;8;medium
HeLa_osm_G3BP1_fanci_wt;CORO1C;WAHR;HeLa;osmosis;fanci;7;bp_pl_fanci;8;medium
U2OS_ars_G3BP1_bp_wt;CORO2A;WAHR;U-2 OS;arsenite;bp;9;bp_fanci;10;high
U2OS_ars_PABPC1_bp_wt;CORO2A;WAHR;U-2 OS;arsenite;bp;9;bp_fanci;10;high
